short_code,full_code,codeName,marketCode,marketName,marketEngName,ord1,ord2
244460,KR7244460002,올리패스,KSQ,코스닥,KOSDAQ,,16
226950,KR7226950004,올릭스,KSQ,코스닥,KOSDAQ,,16
057540,KR7057540007,옴니시스템,KSQ,코스닥,KOSDAQ,,16
131030,KR7131030009,옵투스제약,KSQ,코스닥,KOSDAQ,,16
082210,KR7082210006,옵트론텍,KSQ,코스닥,KOSDAQ,,16
109080,KR7109080002,옵티시스,KSQ,코스닥,KOSDAQ,,16
380540,KR7380540005,옵티코어,KSQ,코스닥,KOSDAQ,,16
153710,KR7153710009,옵티팜,KSQ,코스닥,KOSDAQ,,16
321820,KR7321820003,와이더플래닛,KSQ,코스닥,KOSDAQ,,16
432430,KR7432430007,와이랩,KSQ,코스닥,KOSDAQ,,16
338840,KR7338840002,와이바이오로직스,KSQ,코스닥,KOSDAQ,,16
122990,KR7122990005,와이솔,KSQ,코스닥,KOSDAQ,,16
112290,KR7112290002,와이씨켐,KSQ,코스닥,KOSDAQ,,16
232140,KR7232140004,와이아이케이,KSQ,코스닥,KOSDAQ,,16
065530,KR7065530008,와이어블,KSQ,코스닥,KOSDAQ,,16
067900,KR7067900001,와이엔텍,KSQ,코스닥,KOSDAQ,,16
007530,KR7007530009,와이엠,KSQ,코스닥,KOSDAQ,,16
155650,KR7155650005,와이엠씨,KSQ,코스닥,KOSDAQ,,16
273640,KR7273640003,와이엠텍,KSQ,코스닥,KOSDAQ,,16
251370,KR7251370003,와이엠티,KSQ,코스닥,KOSDAQ,,16
066430,KR7066430000,와이오엠,KSQ,코스닥,KOSDAQ,,16
193250,KR7193250008,와이제이엠게임즈,KSQ,코스닥,KOSDAQ,,16
273060,KR7273060004,와이즈버즈,KSQ,코스닥,KOSDAQ,,16
019210,KR7019210004,와이지-원,KSQ,코스닥,KOSDAQ,,16
122870,KR7122870009,와이지엔터테인먼트,KSQ,코스닥,KOSDAQ,,16
011690,KR7011690005,와이투솔루션,STK,유가증권,KOSPI,,16
332570,KR7332570001,와이팜,KSQ,코스닥,KOSDAQ,,16
079000,KR7079000006,와토스코리아,KSQ,코스닥,KOSDAQ,,16
070960,KR7070960000,용평리조트,STK,유가증권,KOSPI,,16
403490,KR7403490006,우듬지팜,KSQ,코스닥,KOSDAQ,,16
316140,KR7316140003,우리금융지주,STK,유가증권,KOSPI,,16
032820,KR7032820003,우리기술,KSQ,코스닥,KOSDAQ,,16
041190,KR7041190000,우리기술투자,KSQ,코스닥,KOSDAQ,,16
115440,KR7115440000,우리넷,KSQ,코스닥,KOSDAQ,,16
046970,KR7046970000,우리로,KSQ,코스닥,KOSDAQ,,16
082850,KR7082850009,우리바이오,KSQ,코스닥,KOSDAQ,,16
215360,KR7215360009,우리산업,KSQ,코스닥,KOSDAQ,,16
072470,KR7072470008,우리산업홀딩스,KSQ,코스닥,KOSDAQ,,16
073560,KR7073560005,우리손에프앤지,KSQ,코스닥,KOSDAQ,,16
037400,KR7037400009,우리엔터프라이즈,KSQ,코스닥,KOSDAQ,,16
153490,KR7153490008,우리이앤엘,KSQ,코스닥,KOSDAQ,,16
101170,KR7101170009,우림피티에스,KSQ,코스닥,KOSDAQ,,16
006980,KR7006980007,우성,STK,유가증권,KOSPI,,16
066590,KR7066590001,우수AMS,KSQ,코스닥,KOSDAQ,,16
017370,KR7017370008,우신시스템,STK,유가증권,KOSPI,,16
103840,KR7103840005,우양,KSQ,코스닥,KOSDAQ,,16
046940,KR7046940003,우원개발,KSQ,코스닥,KOSDAQ,,16
215380,KR7215380007,우정바이오,KSQ,코스닥,KOSDAQ,,16
065680,KR7065680001,우주일렉트로,KSQ,코스닥,KOSDAQ,,16
105840,KR7105840003,우진,STK,유가증권,KOSPI,,16
018620,KR7018620005,우진비앤지,KSQ,코스닥,KOSDAQ,,16
010400,KR7010400000,우진아이엔에스,STK,유가증권,KOSPI,,16
049800,KR7049800006,우진플라임,STK,유가증권,KOSPI,,16
016880,KR7016880007,웅진,STK,유가증권,KOSPI,,16
095720,KR7095720009,웅진씽크빅,STK,유가증권,KOSPI,,16
396470,KR7396470007,워트,KSQ,코스닥,KOSDAQ,,16
005820,KR7005820006,원림,STK,유가증권,KOSPI,,16
